intrans,trans,intrans_nouns,trans_nouns,trans_subjects
届く,届ける,"荷物, 手紙, 連絡","荷物, 手紙, 連絡","人, 私, 誰か"
崩れる,崩す,"山, バランス, 列","山, バランス, 列","人, 私, 子供"
帰る,帰す,"子供, 友達, ゲスト","子供, 友達, ゲスト","人, 私, 家族"
広まる,広める,"噂, 知識, 文化","噂, 知識, 文化","人, 誰か"
建つ,建てる,"ビル, 家, 橋","ビル, 家, 橋","会社, 職人, 私"
弛む,弛める,"紐, 緊張, 気持ち","紐, 緊張, 気持ち","人, 私, 誰か"
弱まる,弱める,"力, 風, 影響","力, 風, 影響","人, 私, 誰か"
強まる,強める,"風, 絆, 意志","風, 絆, 意志","人, 私, 誰か"
当てはまる,当てはめる,"ルール, 条件, 経験","ルール, 条件, 経験","人, 私, 誰か"
慣れる,慣らす,"環境, 仕事, 匂い","環境, 仕事, 匂い","人, 私, 誰か"
捕まる,捕まえる,"犯人, 魚, ボール","犯人, 魚, ボール","警察, 私, 子供"
据わる,据える,"姿勢, 気持ち, 腹","姿勢, 気持ち","人, 私, 誰か"
掛かる,掛ける,"時間, 費用, 橋","時間, 費用, 橋","人, 私, 誰か"
改まる,改める,"態度, 認識, 予定","態度, 認識, 予定","人, 私, 誰か"
散る,散らす,"花, 葉, ゴミ","花, 葉, ゴミ","風, 人"
断える,断る,"電話, 関係, 誘い","電話, 関係, 誘い","人, 私, 誰か"
映える,映す,"景色, 顔, 服","景色, 顔, 服","人, 私, 誰か"
映る,映す,"姿, 景色, 顔","姿, 景色, 顔","鏡, 水面, カメラ"
曲がる,曲げる,"道, スプーン, 針金","スプーン, 針金","人, 私, 誰か"
染まる,染める,"布, 髪, 心","布, 髪, 心","人, 私, 誰か"
欠ける,欠く,"皿, 歯, 月","皿, 歯","人, 私, 誰か"
汚れる,汚す,"服, 靴, 手, 部屋","服, 靴, 手, 部屋","人, 子供, 私"
決まる,決める,"予定, ルール, 結論","予定, ルール, 結論","人, 私, 会社"
沈む,沈める,"船, 太陽, 気分","船, 太陽, 気分","人, 私, 誰か"
沸く,沸かす,"お湯, 興味, 怒り","お湯, 興味","人, 私, 誰か"
治まる,治める,"騒ぎ, 混乱, 痛み","騒ぎ, 混乱, 痛み","人, 私, 誰か"
治る,治す,"病気, 傷, 風邪","病気, 傷, 風邪","医者, 私, 誰か"
泊まる,泊める,"友達, 車","友達, 車","人, 私, 誰か"
浮かぶ,浮かべる,"考え, 顔, ボート","考え, 顔, ボート","人, 私, 誰か"
消える,消す,"火, 電気, 記憶","火, 電気, 記憶","人, 私, 誰か"
深まる,深める,"関係, 理解, 友情","関係, 理解, 友情","人, 私, 誰か"
減る,減らす,"お金, 体重, 荷物","お金, 体重, 荷物","人, 私, 誰か"
渡る,渡す,"橋, 手紙, 荷物","橋, 手紙, 荷物","人, 私, 誰か"
温まる,温める,"部屋, スープ, 体","部屋, スープ, 体","人, 私, 家族"
溜まる,溜める,"お金, 水, ストレス","お金, 水, ストレス","人, 私, 誰か"
溢れる,溢す,"水, 涙, 喜び","水, 涙, 喜び","人, 私, 子供"
漏る,漏らす,"水, 秘密","水, 秘密","人, 私, 誰か"
漏れる,漏らす,"水, 秘密, 声","水, 秘密, 声","蛇口, 瓶, 壁"
潰れる,潰す,"缶, 箱, 予定, 夢","缶, 箱, 予定, 夢","人, 私, 会社"
濡れる,濡す,"服, タオル, 髪","服, タオル, 髪","人, 私, 子供, 雨"
為る,為す,"こと, 犯罪, 仕事","こと, 犯罪, 仕事","人, 私, 誰か"
焼ける,焼く,"パン, 魚, 肉","パン, 魚, 肉","料理人, 私, 家族"
照る,照らす,"太陽, 月, 光","太陽, 月, 光","太陽, 月, 懐中電灯"
煮える,煮る,"芋, 野菜, 肉","芋, 野菜, 肉","料理人, 私, 家族"
燃える,燃す,"紙, 木, ゴミ","紙, 木, ゴミ","人, 私, 誰か"
片付く,片付ける,"部屋, 机, 書類","部屋, 机, 書類","人, 私, 家族"
現れる,現す,"姿, 感情, 才能","姿, 感情, 才能","人, 誰か"
直る,直す,"姿勢, 癖, 関係","姿勢, 癖, 関係","人, 私, 誰か"
砕ける,砕く,"氷, 窓ガラス, 岩","氷, 窓ガラス, 岩","人, 私, 子供"
移る,移す,"場所, 病気, 席","場所, 病気, 席","人, 私, 誰か"
立つ,立てる,"旗, 煙, 予定, 音","旗, 予定, 音","人, 私, 誰か"
結びつく,結びつける,"縁, 友情, 知識","縁, 友情, 知識","人, 誰か"
続く,続ける,"雨, 勉強, 話","勉強, 話","人, 私, 誰か"
緩む,緩める,"ネジ, 紐, 緊張","ネジ, 紐, 緊張","人, 私, 職人, 誰か"
縮まる,縮める,"距離, 時間","距離, 時間","人, 私, 誰か"
縮む,縮める,"服, 距離, 時間","服, 距離, 時間","人, 私, 誰か"
纏まる,纏める,"意見, 話, 荷物","意見, 話, 荷物","人, 私, 誰か"
育つ,育てる,"子供, 花, 野菜","子供, 花, 野菜","親, 農家, 私"
荒れる,荒す,"肌, 天気, 庭","肌, 庭","誰か, 私"
落ちる,落とす,"鍵, 携帯, ボール","鍵, 携帯, ボール","人, 私, 子供"
裂ける,裂く,"紙, 布, 傷","紙, 布","人, 私, 子供"
見える,見る,"富士山, 景色, 星","富士山, 景色, 星","人, 私, 誰か"
見つかる,見つける,"鍵, 携帯, 宝物","鍵, 携帯, 宝物","人, 私, 友達"
見なれる,見なす,"光景, 顔, 景色","光景, 顔, 景色","人, 私, 誰か"
足る,足す,"お金, 量, 情報","お金, 量, 情報","人, 私, 誰か"
転がる,転がす,"ボール, 車, 石","ボール, 車, 石","人, 私, 誰か"
転ぶ,転がす,"子供, ボール","ボール, 人","人, 私, 子供"
逃れる,逃す,"犯罪者, 責任, 義務","犯罪者, 責任, 義務","人, 私, 誰か"
通る,通す,"道, 光, 風","道, 光, 風","人, 私, 誰か"
連なる,連ねる,"山, ビル, 行列","山, ビル, 行列","人, 私, 誰か"
進む,進める,"計画, 勉強, 時計","計画, 勉強, 時計","人, 私, 誰か"
逸れる,逸らす,"話, 目, 質問","話, 目, 質問","人, 私, 誰か"
重なる,重ねる,"本, 仕事, 努力","本, 仕事, 努力","人, 私, 誰か"
閉まる,閉める,"ドア, 窓, 店","ドア, 窓, 店","人, 私, 誰か"
隠れる,隠す,"鍵, 友達, 秘密","鍵, 友達, 秘密","人, 子供, 私"
集まる,集める,"人, 猫, ゴミ, データ","人, ゴミ, データ","人, 私, 先生"
離れる,離す,"家, 会社, 友達","家, 会社, 友達","人, 私, 誰か"
零れる,零す,"水, 涙, 喜び","水, 涙, 喜び","人, 私, 子供"
驚く,驚かす,"子供, 友達, 観客","子供, 友達, 観客","人, 誰か"
高まる,高める,"期待, 緊張, 意識","期待, 緊張, 意識","人, 会社, 政府"
反る,反す,"板, 本, 体","板, 本, 体","人, 職人, 誰か"
切れる,切る,"紐, 糸, 関係, 電池","紐, 糸, 関係","人, 私, 誰か"
折れる,折る,"枝, 骨, 心, 鉛筆","枝, 骨, 鉛筆","人, 私, 誰か"
散らかる,散らかす,"部屋, 机, 荷物","部屋, 机, 荷物","人, 子供, 私"
隠る,隠す,"鍵, 友達, 秘密","鍵, 友達, 秘密","人, 子供, 私"
載る,載せる,"本, 荷物, 車","本, 荷物","人, 私, 誰か"
返る,返す,"本, お金, 答え","本, お金, 答え","人, 私, 誰か"
退く,退ける,"人, 車, 荷物","人, 車, 荷物","人, 私, 誰か"
残る,残す,"食べ物, 荷物, 痕跡","食べ物, 荷物","人, 私, 誰か"
広がる,広げる,"景色, 噂, 知識","景色, 噂, 知識","人, 私, 会社"
替わる,替える,"席, 場所, 気分","席, 場所, 気分","人, 私, 誰か"
鳴る,鳴らす,"電話, ベル, 笛","電話, ベル, 笛","人, 私, 誰か"
遅れる,遅す,"電車, 予定, 待ち合わせ","電車, 予定","人, 私, 誰か"
付く,付ける,"汚れ, 火, 電気, 名前","汚れ, 火, 電気","人, 私, 誰か"
点く,点ける,"火, 電気, ライト","火, 電気, ライト","人, 私, 誰か"
起こる,起こす,"事件, 問題, 変化","事件, 問題, 変化","人, 誰か"
凝る,凝らす,"筋肉, 肩, 目","目, 意識","人, 私, 誰か"
伸びる,伸ばす,"髪, 枝, 身長","髪, 枝","人, 私, 誰か"
生える,生やす,"草, 歯, 髭","歯, 髭","人, 私, 誰か"
隔たる,隔てる,"距離, 時間, 関係","距離, 時間, 関係","人, 私, 誰か"
脅える,脅す,"子供, 動物, 人","子供, 動物, 人","人, 誰か"
起きる,起こす,"人, 子供, 誰か, 人","人, 子供, 事件","人, 私, 誰か"
